tumor,drug,results
Gastrointestinal Dysplasia,aflibercept,0
Gastrointestinal Dysplasia,sacituzumab govitecan,0
Gastrointestinal Dysplasia,eribulin,0
Gastrointestinal Dysplasia,paclitaxel,3
Gastrointestinal Dysplasia,sodium chloride,0
Gastrointestinal Dysplasia,encorafenib,0
Gastrointestinal Dysplasia,everolimus,0
Gastrointestinal Dysplasia,vinorelbine,0
Gastrointestinal Dysplasia,pemetrexed,0
Gastrointestinal Dysplasia,binimetinib,0
Gastrointestinal Dysplasia,carboplatin,0
Gastrointestinal Dysplasia,abiraterone,0
Gastrointestinal Dysplasia,denosumab,0
Gastrointestinal Dysplasia,everolimus,0
Gastrointestinal Dysplasia,filgrastim,0
Gastrointestinal Dysplasia,fluorouracil,4
Gastrointestinal Dysplasia,doxorubicin,1
Gastrointestinal Dysplasia,gemcitabine,0
Gastrointestinal Dysplasia,regorafenib,0
Gastrointestinal Dysplasia,selpercatinib,0
Gastrointestinal Dysplasia,remdesivir,0
Gastrointestinal Dysplasia,enoxaparin,0
Gastrointestinal Dysplasia,irinotecan,0
Gastrointestinal Dysplasia,nintedanib,0
Gastrointestinal Dysplasia,plerixafor,0
Gastrointestinal Dysplasia,alpelisib,0
Gastrointestinal Dysplasia,rucaparib,0
Gastrointestinal Dysplasia,temozolomide,0
Gastrointestinal Dysplasia,oxaliplatin,2
Gastrointestinal Dysplasia,sotorasib,0
Gastric Carcinosarcoma,pembrolizumab,0
Gastric Carcinosarcoma,osimertinib,0
Gastric Carcinosarcoma,nivolumab,0
Gastric Carcinosarcoma,abemaciclib,0
Gastric Carcinosarcoma,emtansine trastuzumab,1
Gastric Carcinosarcoma,pertuzumab,0
Gastric Carcinosarcoma,panitumumab,0
Gastric Carcinosarcoma,alectinib,0
Gastric Carcinosarcoma,dabrafenib,0
Gastric Carcinosarcoma,niraparib,0
Gastric Carcinosarcoma,trastuzumab,3
Gastric Carcinosarcoma,cabozantinib,0
Gastric Carcinosarcoma,deruxtecan trastuzumab,0
Gastric Carcinosarcoma,ramucirumab,0
Gastric Carcinosarcoma,atezolizumab,0
Gastric Carcinosarcoma,bevacizumab,0
Gastric Carcinosarcoma,olaparib,0
Gastric Carcinosarcoma,trametinib,0
Gastric Carcinosarcoma,ribociclib,0
Gastric Carcinosarcoma,durvalumab,0
Gastric Carcinosarcoma,lenvatinib,0
Gastric Carcinosarcoma,palbociclib,0
Gastric Carcinosarcoma,trifluridine tipiracil,0
Gastric Carcinosarcoma,ipilimumab,0
Gastric Carcinosarcoma,pazopanib,1
Gastric Carcinosarcoma,crizotinib,0
Gastric Carcinosarcoma,trabectedin,0
Gastric Carcinosarcoma,avelumab,0
Gastric Carcinosarcoma,lorlatinib,0
Gastric Carcinosarcoma,enzalutamide,0
Gastric Carcinosarcoma,afatinib,0
Gastric Carcinosarcoma,capecitabine,0
Gastric Carcinosarcoma,cetuximab,0
Gastric Carcinosarcoma,paclitaxel albumin,0
Gastric Carcinosarcoma,aflibercept,0
Gastric Carcinosarcoma,sacituzumab govitecan,0
Gastric Carcinosarcoma,eribulin,0
Gastric Carcinosarcoma,paclitaxel,3
Gastric Carcinosarcoma,sodium chloride,0
Gastric Carcinosarcoma,encorafenib,0
Gastric Carcinosarcoma,everolimus,0
Gastric Carcinosarcoma,vinorelbine,0
Gastric Carcinosarcoma,pemetrexed,0
Gastric Carcinosarcoma,binimetinib,0
Gastric Carcinosarcoma,carboplatin,3
Gastric Carcinosarcoma,abiraterone,0
Gastric Carcinosarcoma,denosumab,0
Gastric Carcinosarcoma,everolimus,0
Gastric Carcinosarcoma,filgrastim,0
Gastric Carcinosarcoma,fluorouracil,8
Gastric Carcinosarcoma,doxorubicin,3
Gastric Carcinosarcoma,gemcitabine,1
Gastric Carcinosarcoma,regorafenib,0
Gastric Carcinosarcoma,selpercatinib,0
Gastric Carcinosarcoma,remdesivir,0
Gastric Carcinosarcoma,enoxaparin,0
Gastric Carcinosarcoma,irinotecan,1
Gastric Carcinosarcoma,nintedanib,0
Gastric Carcinosarcoma,plerixafor,0
Gastric Carcinosarcoma,alpelisib,0
Gastric Carcinosarcoma,rucaparib,0
Gastric Carcinosarcoma,temozolomide,0
Gastric Carcinosarcoma,oxaliplatin,1
Gastric Carcinosarcoma,sotorasib,0
Esophageal Dysplasia,pembrolizumab,0
Esophageal Dysplasia,osimertinib,0
Esophageal Dysplasia,nivolumab,0
Esophageal Dysplasia,abemaciclib,0
Esophageal Dysplasia,emtansine trastuzumab,0
Esophageal Dysplasia,pertuzumab,0
Esophageal Dysplasia,panitumumab,0
Esophageal Dysplasia,alectinib,0
Esophageal Dysplasia,dabrafenib,0
Esophageal Dysplasia,niraparib,0
Esophageal Dysplasia,trastuzumab,6
Esophageal Dysplasia,cabozantinib,0
Esophageal Dysplasia,deruxtecan trastuzumab,0
Esophageal Dysplasia,ramucirumab,0
Esophageal Dysplasia,atezolizumab,0
Esophageal Dysplasia,bevacizumab,2
Esophageal Dysplasia,olaparib,0
Esophageal Dysplasia,trametinib,0
Esophageal Dysplasia,ribociclib,0
Esophageal Dysplasia,durvalumab,0
Esophageal Dysplasia,lenvatinib,0
Esophageal Dysplasia,palbociclib,1
Esophageal Dysplasia,trifluridine tipiracil,0
Esophageal Dysplasia,ipilimumab,0
Esophageal Dysplasia,pazopanib,0
Esophageal Dysplasia,crizotinib,0
Esophageal Dysplasia,trabectedin,0
Esophageal Dysplasia,avelumab,0
Esophageal Dysplasia,lorlatinib,0
Esophageal Dysplasia,enzalutamide,0
Esophageal Dysplasia,afatinib,0
Esophageal Dysplasia,capecitabine,1
Esophageal Dysplasia,cetuximab,0
Esophageal Dysplasia,paclitaxel albumin,0
Esophageal Dysplasia,aflibercept,0
Esophageal Dysplasia,sacituzumab govitecan,0
Esophageal Dysplasia,eribulin,0
Esophageal Dysplasia,paclitaxel,4
Esophageal Dysplasia,sodium chloride,0
Esophageal Dysplasia,encorafenib,0
Esophageal Dysplasia,everolimus,0
Esophageal Dysplasia,vinorelbine,0
Esophageal Dysplasia,pemetrexed,0
Esophageal Dysplasia,binimetinib,0
Esophageal Dysplasia,carboplatin,0
Esophageal Dysplasia,abiraterone,0
Esophageal Dysplasia,denosumab,0
Esophageal Dysplasia,everolimus,0
Esophageal Dysplasia,filgrastim,0
Esophageal Dysplasia,fluorouracil,11
Esophageal Dysplasia,doxorubicin,4
Esophageal Dysplasia,gemcitabine,0
Esophageal Dysplasia,regorafenib,0
Esophageal Dysplasia,selpercatinib,0
Esophageal Dysplasia,remdesivir,0
Esophageal Dysplasia,enoxaparin,0
Esophageal Dysplasia,irinotecan,0
Esophageal Dysplasia,nintedanib,0
Esophageal Dysplasia,plerixafor,0
Esophageal Dysplasia,alpelisib,0
Esophageal Dysplasia,rucaparib,0
Esophageal Dysplasia,temozolomide,0
Esophageal Dysplasia,oxaliplatin,0
Esophageal Dysplasia,sotorasib,0
Small Intestine Carcinoma In Situ,pembrolizumab,1
Small Intestine Carcinoma In Situ,osimertinib,0
Small Intestine Carcinoma In Situ,nivolumab,0
Small Intestine Carcinoma In Situ,abemaciclib,0
Small Intestine Carcinoma In Situ,emtansine trastuzumab,0
Small Intestine Carcinoma In Situ,pertuzumab,0
Small Intestine Carcinoma In Situ,panitumumab,0
Small Intestine Carcinoma In Situ,alectinib,0
Small Intestine Carcinoma In Situ,dabrafenib,0
Small Intestine Carcinoma In Situ,niraparib,0
Small Intestine Carcinoma In Situ,trastuzumab,1
Small Intestine Carcinoma In Situ,cabozantinib,0
Small Intestine Carcinoma In Situ,deruxtecan trastuzumab,0
Small Intestine Carcinoma In Situ,ramucirumab,0
Small Intestine Carcinoma In Situ,atezolizumab,0
Small Intestine Carcinoma In Situ,bevacizumab,0
Small Intestine Carcinoma In Situ,olaparib,0
Small Intestine Carcinoma In Situ,trametinib,0
Small Intestine Carcinoma In Situ,ribociclib,0
Small Intestine Carcinoma In Situ,durvalumab,0
Small Intestine Carcinoma In Situ,lenvatinib,0
Small Intestine Carcinoma In Situ,palbociclib,0
Small Intestine Carcinoma In Situ,trifluridine tipiracil,0
Small Intestine Carcinoma In Situ,ipilimumab,0
Small Intestine Carcinoma In Situ,pazopanib,0
Small Intestine Carcinoma In Situ,crizotinib,0
Small Intestine Carcinoma In Situ,trabectedin,0
Small Intestine Carcinoma In Situ,avelumab,0
Small Intestine Carcinoma In Situ,lorlatinib,0
Small Intestine Carcinoma In Situ,enzalutamide,0
Small Intestine Carcinoma In Situ,afatinib,0
Small Intestine Carcinoma In Situ,capecitabine,0
Small Intestine Carcinoma In Situ,cetuximab,0
Small Intestine Carcinoma In Situ,paclitaxel albumin,0
Small Intestine Carcinoma In Situ,aflibercept,0
Small Intestine Carcinoma In Situ,sacituzumab govitecan,0
Small Intestine Carcinoma In Situ,eribulin,0
Small Intestine Carcinoma In Situ,paclitaxel,0
Small Intestine Carcinoma In Situ,sodium chloride,0
Small Intestine Carcinoma In Situ,encorafenib,0
Small Intestine Carcinoma In Situ,everolimus,0
Small Intestine Carcinoma In Situ,vinorelbine,0
Small Intestine Carcinoma In Situ,pemetrexed,0
Small Intestine Carcinoma In Situ,binimetinib,0
Small Intestine Carcinoma In Situ,carboplatin,0
Small Intestine Carcinoma In Situ,abiraterone,0
Small Intestine Carcinoma In Situ,denosumab,0
Small Intestine Carcinoma In Situ,everolimus,0
Small Intestine Carcinoma In Situ,filgrastim,0
Small Intestine Carcinoma In Situ,fluorouracil,3
Small Intestine Carcinoma In Situ,doxorubicin,0
Small Intestine Carcinoma In Situ,gemcitabine,0
Small Intestine Carcinoma In Situ,regorafenib,0
Small Intestine Carcinoma In Situ,selpercatinib,0
Small Intestine Carcinoma In Situ,remdesivir,0
Small Intestine Carcinoma In Situ,enoxaparin,0
Small Intestine Carcinoma In Situ,irinotecan,0
Small Intestine Carcinoma In Situ,nintedanib,1
Small Intestine Carcinoma In Situ,plerixafor,0
Small Intestine Carcinoma In Situ,alpelisib,0
Small Intestine Carcinoma In Situ,rucaparib,0
Small Intestine Carcinoma In Situ,temozolomide,0
Small Intestine Carcinoma In Situ,oxaliplatin,0
Small Intestine Carcinoma In Situ,sotorasib,0
Colorectal Dysplasia,pembrolizumab,1
Colorectal Dysplasia,osimertinib,0
Colorectal Dysplasia,nivolumab,0
Colorectal Dysplasia,abemaciclib,0
Colorectal Dysplasia,emtansine trastuzumab,0
Colorectal Dysplasia,pertuzumab,0
Colorectal Dysplasia,panitumumab,1
Colorectal Dysplasia,alectinib,0
Colorectal Dysplasia,dabrafenib,0
Colorectal Dysplasia,niraparib,0
Colorectal Dysplasia,trastuzumab,0
Colorectal Dysplasia,cabozantinib,0
Colorectal Dysplasia,deruxtecan trastuzumab,0
Colorectal Dysplasia,ramucirumab,0
Colorectal Dysplasia,atezolizumab,0
Colorectal Dysplasia,bevacizumab,1
Colorectal Dysplasia,olaparib,0
Colorectal Dysplasia,trametinib,0
Colorectal Dysplasia,ribociclib,0
Colorectal Dysplasia,durvalumab,0
Colorectal Dysplasia,lenvatinib,0
Colorectal Dysplasia,palbociclib,0
Colorectal Dysplasia,trifluridine tipiracil,0
Colorectal Dysplasia,ipilimumab,0
Colorectal Dysplasia,pazopanib,0
Colorectal Dysplasia,crizotinib,0
Colorectal Dysplasia,trabectedin,0
Colorectal Dysplasia,avelumab,0
Colorectal Dysplasia,lorlatinib,0
Colorectal Dysplasia,enzalutamide,0
Colorectal Dysplasia,afatinib,0
Colorectal Dysplasia,capecitabine,1
Colorectal Dysplasia,cetuximab,1
Colorectal Dysplasia,paclitaxel albumin,0
Colorectal Dysplasia,aflibercept,0
Colorectal Dysplasia,sacituzumab govitecan,0
Colorectal Dysplasia,eribulin,0
Colorectal Dysplasia,paclitaxel,1
Colorectal Dysplasia,sodium chloride,0
Colorectal Dysplasia,encorafenib,0
Colorectal Dysplasia,everolimus,0
Colorectal Dysplasia,vinorelbine,0
Colorectal Dysplasia,pemetrexed,0
Colorectal Dysplasia,binimetinib,0
Colorectal Dysplasia,carboplatin,1
Colorectal Dysplasia,abiraterone,0
Colorectal Dysplasia,denosumab,0
Colorectal Dysplasia,everolimus,0
Colorectal Dysplasia,filgrastim,0
Colorectal Dysplasia,fluorouracil,16
Colorectal Dysplasia,doxorubicin,1
Colorectal Dysplasia,gemcitabine,0
Colorectal Dysplasia,regorafenib,0
Colorectal Dysplasia,selpercatinib,0
Colorectal Dysplasia,remdesivir,0
Colorectal Dysplasia,enoxaparin,0
Colorectal Dysplasia,irinotecan,1
Colorectal Dysplasia,nintedanib,0
Colorectal Dysplasia,plerixafor,0
Colorectal Dysplasia,alpelisib,0
Colorectal Dysplasia,rucaparib,0
Colorectal Dysplasia,temozolomide,0
Colorectal Dysplasia,oxaliplatin,5
Colorectal Dysplasia,sotorasib,0
Gastrointestinal Sarcoma,pembrolizumab,10
Gastrointestinal Sarcoma,osimertinib,1
Gastrointestinal Sarcoma,nivolumab,11
Gastrointestinal Sarcoma,abemaciclib,0
Gastrointestinal Sarcoma,emtansine trastuzumab,0
Gastrointestinal Sarcoma,pertuzumab,0
Gastrointestinal Sarcoma,panitumumab,7
Gastrointestinal Sarcoma,alectinib,2
Gastrointestinal Sarcoma,dabrafenib,5
Gastrointestinal Sarcoma,niraparib,0
Gastrointestinal Sarcoma,trastuzumab,4
Gastrointestinal Sarcoma,cabozantinib,11
Gastrointestinal Sarcoma,deruxtecan trastuzumab,1
Gastrointestinal Sarcoma,ramucirumab,0
Gastrointestinal Sarcoma,atezolizumab,1
Gastrointestinal Sarcoma,bevacizumab,17
Gastrointestinal Sarcoma,olaparib,1
Gastrointestinal Sarcoma,trametinib,6
Gastrointestinal Sarcoma,ribociclib,0
Gastrointestinal Sarcoma,durvalumab,0
Gastrointestinal Sarcoma,lenvatinib,3
Gastrointestinal Sarcoma,palbociclib,1
Gastrointestinal Sarcoma,trifluridine tipiracil,0
Gastrointestinal Sarcoma,ipilimumab,8
Gastrointestinal Sarcoma,pazopanib,42
Gastrointestinal Sarcoma,crizotinib,10
Gastrointestinal Sarcoma,trabectedin,23
Gastrointestinal Sarcoma,avelumab,3
Gastrointestinal Sarcoma,lorlatinib,0
Gastrointestinal Sarcoma,enzalutamide,1
Gastrointestinal Sarcoma,afatinib,2
Gastrointestinal Sarcoma,capecitabine,5
Gastrointestinal Sarcoma,cetuximab,8
Gastrointestinal Sarcoma,paclitaxel albumin,2
Gastrointestinal Sarcoma,aflibercept,1
Gastrointestinal Sarcoma,sacituzumab govitecan,0
Gastrointestinal Sarcoma,eribulin,3
Gastrointestinal Sarcoma,paclitaxel,31
Gastrointestinal Sarcoma,sodium chloride,3
Gastrointestinal Sarcoma,encorafenib,0
Gastrointestinal Sarcoma,everolimus,14
Gastrointestinal Sarcoma,vinorelbine,2
Gastrointestinal Sarcoma,pemetrexed,1
Gastrointestinal Sarcoma,binimetinib,1
Gastrointestinal Sarcoma,carboplatin,24
Gastrointestinal Sarcoma,abiraterone,1
Gastrointestinal Sarcoma,denosumab,5
Gastrointestinal Sarcoma,everolimus,14
Gastrointestinal Sarcoma,filgrastim,0
Gastrointestinal Sarcoma,fluorouracil,59
Gastrointestinal Sarcoma,doxorubicin,177
Gastrointestinal Sarcoma,gemcitabine,41
Gastrointestinal Sarcoma,regorafenib,82
Gastrointestinal Sarcoma,selpercatinib,1
Gastrointestinal Sarcoma,remdesivir,0
Gastrointestinal Sarcoma,enoxaparin,0
Gastrointestinal Sarcoma,irinotecan,23
Gastrointestinal Sarcoma,nintedanib,0
Gastrointestinal Sarcoma,plerixafor,0
Gastrointestinal Sarcoma,alpelisib,1
Gastrointestinal Sarcoma,rucaparib,0
Gastrointestinal Sarcoma,temozolomide,13
Gastrointestinal Sarcoma,oxaliplatin,8
Gastrointestinal Sarcoma,sotorasib,2
Colorectal Carcinosarcoma,pembrolizumab,0
Colorectal Carcinosarcoma,osimertinib,0
Colorectal Carcinosarcoma,nivolumab,1
Colorectal Carcinosarcoma,abemaciclib,0
Colorectal Carcinosarcoma,emtansine trastuzumab,0
Colorectal Carcinosarcoma,pertuzumab,0
Colorectal Carcinosarcoma,panitumumab,0
Colorectal Carcinosarcoma,alectinib,0
Colorectal Carcinosarcoma,dabrafenib,0
Colorectal Carcinosarcoma,niraparib,0
Colorectal Carcinosarcoma,trastuzumab,0
Colorectal Carcinosarcoma,cabozantinib,0
Colorectal Carcinosarcoma,deruxtecan trastuzumab,0
Colorectal Carcinosarcoma,ramucirumab,0
Colorectal Carcinosarcoma,atezolizumab,0
Colorectal Carcinosarcoma,bevacizumab,0
Colorectal Carcinosarcoma,olaparib,0
Colorectal Carcinosarcoma,trametinib,0
Colorectal Carcinosarcoma,ribociclib,0
Colorectal Carcinosarcoma,durvalumab,0
Colorectal Carcinosarcoma,lenvatinib,0
Colorectal Carcinosarcoma,palbociclib,0
Colorectal Carcinosarcoma,trifluridine tipiracil,0
Colorectal Carcinosarcoma,ipilimumab,0
Colorectal Carcinosarcoma,pazopanib,0
Colorectal Carcinosarcoma,crizotinib,0
Colorectal Carcinosarcoma,trabectedin,0
Colorectal Carcinosarcoma,avelumab,0
Colorectal Carcinosarcoma,lorlatinib,0
Colorectal Carcinosarcoma,enzalutamide,0
Colorectal Carcinosarcoma,afatinib,0
Colorectal Carcinosarcoma,capecitabine,0
Colorectal Carcinosarcoma,cetuximab,0
Colorectal Carcinosarcoma,paclitaxel albumin,0
Colorectal Carcinosarcoma,aflibercept,0
Colorectal Carcinosarcoma,sacituzumab govitecan,0
Colorectal Carcinosarcoma,eribulin,0
Colorectal Carcinosarcoma,paclitaxel,1
Colorectal Carcinosarcoma,sodium chloride,0
Colorectal Carcinosarcoma,encorafenib,0
Colorectal Carcinosarcoma,everolimus,0
Colorectal Carcinosarcoma,vinorelbine,0
Colorectal Carcinosarcoma,pemetrexed,0
Colorectal Carcinosarcoma,binimetinib,0
Colorectal Carcinosarcoma,carboplatin,1
Colorectal Carcinosarcoma,abiraterone,0
Colorectal Carcinosarcoma,denosumab,0
Colorectal Carcinosarcoma,everolimus,0
Colorectal Carcinosarcoma,filgrastim,0
Colorectal Carcinosarcoma,fluorouracil,1
Colorectal Carcinosarcoma,doxorubicin,0
Colorectal Carcinosarcoma,gemcitabine,0
Colorectal Carcinosarcoma,regorafenib,0
Colorectal Carcinosarcoma,selpercatinib,0
Colorectal Carcinosarcoma,remdesivir,0
Colorectal Carcinosarcoma,enoxaparin,0
Colorectal Carcinosarcoma,irinotecan,0
Colorectal Carcinosarcoma,nintedanib,0
Colorectal Carcinosarcoma,plerixafor,0
Colorectal Carcinosarcoma,alpelisib,0
Colorectal Carcinosarcoma,rucaparib,0
Colorectal Carcinosarcoma,temozolomide,0
Colorectal Carcinosarcoma,oxaliplatin,0
Colorectal Carcinosarcoma,sotorasib,0
Pancreatic Dysplasia,pembrolizumab,0
Pancreatic Dysplasia,osimertinib,0
Pancreatic Dysplasia,nivolumab,0
Pancreatic Dysplasia,abemaciclib,0
Pancreatic Dysplasia,emtansine trastuzumab,0
Pancreatic Dysplasia,pertuzumab,0
Pancreatic Dysplasia,panitumumab,0
Pancreatic Dysplasia,alectinib,0
Pancreatic Dysplasia,dabrafenib,0
Pancreatic Dysplasia,niraparib,0
Pancreatic Dysplasia,trastuzumab,1
Pancreatic Dysplasia,cabozantinib,0
Pancreatic Dysplasia,deruxtecan trastuzumab,0
Pancreatic Dysplasia,ramucirumab,0
Pancreatic Dysplasia,atezolizumab,0
Pancreatic Dysplasia,bevacizumab,0
Pancreatic Dysplasia,olaparib,0
Pancreatic Dysplasia,trametinib,0
Pancreatic Dysplasia,ribociclib,0
Pancreatic Dysplasia,durvalumab,0
Pancreatic Dysplasia,lenvatinib,0
Pancreatic Dysplasia,palbociclib,0
Pancreatic Dysplasia,trifluridine tipiracil,0
Pancreatic Dysplasia,ipilimumab,0
Pancreatic Dysplasia,pazopanib,0
Pancreatic Dysplasia,crizotinib,0
Pancreatic Dysplasia,trabectedin,0
Pancreatic Dysplasia,avelumab,0
Pancreatic Dysplasia,lorlatinib,0
Pancreatic Dysplasia,enzalutamide,0
Pancreatic Dysplasia,afatinib,0
Pancreatic Dysplasia,capecitabine,1
Pancreatic Dysplasia,cetuximab,0
Pancreatic Dysplasia,paclitaxel albumin,0
Pancreatic Dysplasia,aflibercept,0
Pancreatic Dysplasia,sacituzumab govitecan,0
Pancreatic Dysplasia,eribulin,0
Pancreatic Dysplasia,paclitaxel,0
Pancreatic Dysplasia,sodium chloride,0
Pancreatic Dysplasia,encorafenib,0
Pancreatic Dysplasia,everolimus,0
Pancreatic Dysplasia,vinorelbine,0
Pancreatic Dysplasia,pemetrexed,0
Pancreatic Dysplasia,binimetinib,0
Pancreatic Dysplasia,carboplatin,0
Pancreatic Dysplasia,abiraterone,0
Pancreatic Dysplasia,denosumab,0
Pancreatic Dysplasia,everolimus,0
Pancreatic Dysplasia,filgrastim,0
Pancreatic Dysplasia,fluorouracil,1
Pancreatic Dysplasia,doxorubicin,0
Pancreatic Dysplasia,gemcitabine,5
Pancreatic Dysplasia,regorafenib,0
Pancreatic Dysplasia,selpercatinib,0
Pancreatic Dysplasia,remdesivir,0
Pancreatic Dysplasia,enoxaparin,0
Pancreatic Dysplasia,irinotecan,2
Pancreatic Dysplasia,nintedanib,0
Pancreatic Dysplasia,plerixafor,0
Pancreatic Dysplasia,alpelisib,0
Pancreatic Dysplasia,rucaparib,0
Pancreatic Dysplasia,temozolomide,0
Pancreatic Dysplasia,oxaliplatin,1
Pancreatic Dysplasia,sotorasib,0
Colorectal Sarcoma,pembrolizumab,7
Colorectal Sarcoma,osimertinib,0
Colorectal Sarcoma,nivolumab,2
Colorectal Sarcoma,abemaciclib,0
Colorectal Sarcoma,emtansine trastuzumab,2
Colorectal Sarcoma,pertuzumab,1
Colorectal Sarcoma,panitumumab,62
Colorectal Sarcoma,alectinib,1
Colorectal Sarcoma,dabrafenib,6
Colorectal Sarcoma,niraparib,1
Colorectal Sarcoma,trastuzumab,6
Colorectal Sarcoma,cabozantinib,1
Colorectal Sarcoma,deruxtecan trastuzumab,2
Colorectal Sarcoma,ramucirumab,2
Colorectal Sarcoma,atezolizumab,0
Colorectal Sarcoma,bevacizumab,53
Colorectal Sarcoma,olaparib,0
Colorectal Sarcoma,trametinib,7
Colorectal Sarcoma,ribociclib,1
Colorectal Sarcoma,durvalumab,0
Colorectal Sarcoma,lenvatinib,0
Colorectal Sarcoma,palbociclib,1
Colorectal Sarcoma,trifluridine tipiracil,5
Colorectal Sarcoma,ipilimumab,2
Colorectal Sarcoma,pazopanib,5
Colorectal Sarcoma,crizotinib,5
Colorectal Sarcoma,trabectedin,1
Colorectal Sarcoma,avelumab,1
Colorectal Sarcoma,lorlatinib,0
Colorectal Sarcoma,enzalutamide,1
Colorectal Sarcoma,afatinib,1
Colorectal Sarcoma,capecitabine,13
Colorectal Sarcoma,cetuximab,96
Colorectal Sarcoma,paclitaxel albumin,1
Colorectal Sarcoma,aflibercept,5
Colorectal Sarcoma,sacituzumab govitecan,0
Colorectal Sarcoma,eribulin,1
Colorectal Sarcoma,paclitaxel,13
Colorectal Sarcoma,sodium chloride,1
Colorectal Sarcoma,encorafenib,3
Colorectal Sarcoma,everolimus,1
Colorectal Sarcoma,vinorelbine,1
Colorectal Sarcoma,pemetrexed,0
Colorectal Sarcoma,binimetinib,1
Colorectal Sarcoma,carboplatin,2
Colorectal Sarcoma,abiraterone,1
Colorectal Sarcoma,denosumab,0
Colorectal Sarcoma,everolimus,1
Colorectal Sarcoma,filgrastim,1
Colorectal Sarcoma,fluorouracil,90
Colorectal Sarcoma,doxorubicin,41
Colorectal Sarcoma,gemcitabine,3
Colorectal Sarcoma,regorafenib,20
Colorectal Sarcoma,selpercatinib,3
Colorectal Sarcoma,remdesivir,0
Colorectal Sarcoma,enoxaparin,1
Colorectal Sarcoma,irinotecan,59
Colorectal Sarcoma,nintedanib,0
Colorectal Sarcoma,plerixafor,0
Colorectal Sarcoma,alpelisib,0
Colorectal Sarcoma,rucaparib,0
Colorectal Sarcoma,temozolomide,1
Colorectal Sarcoma,oxaliplatin,60
Colorectal Sarcoma,sotorasib,18
Esophageal Carcinoma In Situ,pembrolizumab,0
Esophageal Carcinoma In Situ,osimertinib,0
Esophageal Carcinoma In Situ,nivolumab,0
Esophageal Carcinoma In Situ,abemaciclib,0
Esophageal Carcinoma In Situ,emtansine trastuzumab,0
Esophageal Carcinoma In Situ,pertuzumab,1
Esophageal Carcinoma In Situ,panitumumab,0
Esophageal Carcinoma In Situ,alectinib,1
Esophageal Carcinoma In Situ,dabrafenib,0
Esophageal Carcinoma In Situ,niraparib,0
Esophageal Carcinoma In Situ,trastuzumab,13
Esophageal Carcinoma In Situ,cabozantinib,0
Esophageal Carcinoma In Situ,deruxtecan trastuzumab,0
Esophageal Carcinoma In Situ,ramucirumab,0
Esophageal Carcinoma In Situ,atezolizumab,0
Esophageal Carcinoma In Situ,bevacizumab,0
Esophageal Carcinoma In Situ,olaparib,1
Esophageal Carcinoma In Situ,trametinib,0
Esophageal Carcinoma In Situ,ribociclib,0
Esophageal Carcinoma In Situ,durvalumab,0
Esophageal Carcinoma In Situ,lenvatinib,0
Esophageal Carcinoma In Situ,palbociclib,0
Esophageal Carcinoma In Situ,trifluridine tipiracil,0
Esophageal Carcinoma In Situ,ipilimumab,0
Esophageal Carcinoma In Situ,pazopanib,0
Esophageal Carcinoma In Situ,crizotinib,2
Esophageal Carcinoma In Situ,trabectedin,0
Esophageal Carcinoma In Situ,avelumab,0
Esophageal Carcinoma In Situ,lorlatinib,0
Esophageal Carcinoma In Situ,enzalutamide,0
Esophageal Carcinoma In Situ,afatinib,0
Esophageal Carcinoma In Situ,capecitabine,1
Esophageal Carcinoma In Situ,cetuximab,3
Esophageal Carcinoma In Situ,paclitaxel albumin,0
Esophageal Carcinoma In Situ,aflibercept,0
Esophageal Carcinoma In Situ,sacituzumab govitecan,0
Esophageal Carcinoma In Situ,eribulin,0
Esophageal Carcinoma In Situ,paclitaxel,6
Esophageal Carcinoma In Situ,sodium chloride,1
Esophageal Carcinoma In Situ,encorafenib,0
Esophageal Carcinoma In Situ,everolimus,0
Esophageal Carcinoma In Situ,vinorelbine,0
Esophageal Carcinoma In Situ,pemetrexed,0
Esophageal Carcinoma In Situ,binimetinib,0
Esophageal Carcinoma In Situ,carboplatin,3
Esophageal Carcinoma In Situ,abiraterone,0
Esophageal Carcinoma In Situ,denosumab,0
Esophageal Carcinoma In Situ,everolimus,0
Esophageal Carcinoma In Situ,filgrastim,0
Esophageal Carcinoma In Situ,fluorouracil,14
Esophageal Carcinoma In Situ,doxorubicin,0
Esophageal Carcinoma In Situ,gemcitabine,1
Esophageal Carcinoma In Situ,regorafenib,0
Esophageal Carcinoma In Situ,selpercatinib,0
Esophageal Carcinoma In Situ,remdesivir,0
Esophageal Carcinoma In Situ,enoxaparin,0
Esophageal Carcinoma In Situ,irinotecan,2
Esophageal Carcinoma In Situ,nintedanib,0
Esophageal Carcinoma In Situ,plerixafor,0
Esophageal Carcinoma In Situ,alpelisib,0
Esophageal Carcinoma In Situ,rucaparib,0
Esophageal Carcinoma In Situ,temozolomide,1
Esophageal Carcinoma In Situ,oxaliplatin,1
Esophageal Carcinoma In Situ,sotorasib,0
Ampullary Dysplasia,pembrolizumab,0
Ampullary Dysplasia,osimertinib,0
Ampullary Dysplasia,nivolumab,0
Ampullary Dysplasia,abemaciclib,0
Ampullary Dysplasia,emtansine trastuzumab,0
Ampullary Dysplasia,pertuzumab,0
Ampullary Dysplasia,panitumumab,0
Ampullary Dysplasia,alectinib,0
Ampullary Dysplasia,dabrafenib,0
Ampullary Dysplasia,niraparib,0
Ampullary Dysplasia,trastuzumab,0
